,inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught
0,1st innings,Delhi Capitals,Rajasthan Royals,0.1,S Dhawan,PP Shaw,Mustafizur Rahman,0,1,1,0,0,0,0
1,1st innings,Delhi Capitals,Rajasthan Royals,0.2,PP Shaw,S Dhawan,Mustafizur Rahman,0,1,1,0,0,0,0
2,1st innings,Delhi Capitals,Rajasthan Royals,0.3,S Dhawan,PP Shaw,Mustafizur Rahman,0,0,0,0,0,0,0
3,1st innings,Delhi Capitals,Rajasthan Royals,0.4,S Dhawan,PP Shaw,Mustafizur Rahman,0,1,1,0,0,0,0
4,1st innings,Delhi Capitals,Rajasthan Royals,0.5,PP Shaw,S Dhawan,Mustafizur Rahman,0,1,1,0,0,0,0
5,1st innings,Delhi Capitals,Rajasthan Royals,0.6,S Dhawan,PP Shaw,Mustafizur Rahman,0,2,2,0,0,0,0
6,1st innings,Delhi Capitals,Rajasthan Royals,1.1,PP Shaw,S Dhawan,MK Lomror,0,4,4,0,0,0,0
7,1st innings,Delhi Capitals,Rajasthan Royals,1.2,PP Shaw,S Dhawan,MK Lomror,0,0,0,0,0,0,0
8,1st innings,Delhi Capitals,Rajasthan Royals,1.3,PP Shaw,S Dhawan,MK Lomror,0,0,0,0,0,0,0
9,1st innings,Delhi Capitals,Rajasthan Royals,1.4,PP Shaw,S Dhawan,MK Lomror,0,1,1,0,0,0,0
10,1st innings,Delhi Capitals,Rajasthan Royals,1.5,S Dhawan,PP Shaw,MK Lomror,0,0,0,0,0,0,0
11,1st innings,Delhi Capitals,Rajasthan Royals,1.6,S Dhawan,PP Shaw,MK Lomror,0,0,0,0,0,0,0
12,1st innings,Delhi Capitals,Rajasthan Royals,2.1,PP Shaw,S Dhawan,C Sakariya,0,1,1,0,0,0,0
13,1st innings,Delhi Capitals,Rajasthan Royals,2.2,S Dhawan,PP Shaw,C Sakariya,0,0,0,0,0,0,0
14,1st innings,Delhi Capitals,Rajasthan Royals,2.3,S Dhawan,PP Shaw,C Sakariya,0,0,0,0,0,0,0
15,1st innings,Delhi Capitals,Rajasthan Royals,2.4,S Dhawan,PP Shaw,C Sakariya,0,2,2,0,0,0,0
16,1st innings,Delhi Capitals,Rajasthan Royals,2.5,S Dhawan,PP Shaw,C Sakariya,0,2,2,0,0,0,0
17,1st innings,Delhi Capitals,Rajasthan Royals,2.6,S Dhawan,PP Shaw,C Sakariya,0,2,2,0,0,0,0
18,1st innings,Delhi Capitals,Rajasthan Royals,3.1,PP Shaw,S Dhawan,Kartik Tyagi,0,0,0,0,S Dhawan,bowled,0
19,1st innings,Delhi Capitals,Rajasthan Royals,3.2,PP Shaw,SS Iyer,Kartik Tyagi,0,0,0,0,0,0,0
20,1st innings,Delhi Capitals,Rajasthan Royals,3.3,PP Shaw,SS Iyer,Kartik Tyagi,0,0,0,0,0,0,0
21,1st innings,Delhi Capitals,Rajasthan Royals,3.4,PP Shaw,SS Iyer,Kartik Tyagi,1,0,1,wides,0,0,0
22,1st innings,Delhi Capitals,Rajasthan Royals,3.5,PP Shaw,SS Iyer,Kartik Tyagi,0,0,0,0,0,0,0
23,1st innings,Delhi Capitals,Rajasthan Royals,3.6,PP Shaw,SS Iyer,Kartik Tyagi,0,2,2,0,0,0,0
24,1st innings,Delhi Capitals,Rajasthan Royals,3.7,PP Shaw,SS Iyer,Kartik Tyagi,0,0,0,0,0,0,0
25,1st innings,Delhi Capitals,Rajasthan Royals,4.1,SS Iyer,PP Shaw,C Sakariya,0,0,0,0,PP Shaw,caught,LS Livingstone
26,1st innings,Delhi Capitals,Rajasthan Royals,4.2,SS Iyer,RR Pant,C Sakariya,0,1,1,0,0,0,0
27,1st innings,Delhi Capitals,Rajasthan Royals,4.3,RR Pant,SS Iyer,C Sakariya,0,1,1,0,0,0,0
28,1st innings,Delhi Capitals,Rajasthan Royals,4.4,SS Iyer,RR Pant,C Sakariya,0,1,1,0,0,0,0
29,1st innings,Delhi Capitals,Rajasthan Royals,4.5,RR Pant,SS Iyer,C Sakariya,0,1,1,0,0,0,0
30,1st innings,Delhi Capitals,Rajasthan Royals,4.6,SS Iyer,RR Pant,C Sakariya,0,0,0,0,0,0,0
31,1st innings,Delhi Capitals,Rajasthan Royals,5.1,RR Pant,SS Iyer,Kartik Tyagi,0,4,4,0,0,0,0
32,1st innings,Delhi Capitals,Rajasthan Royals,5.2,RR Pant,SS Iyer,Kartik Tyagi,1,0,1,wides,0,0,0
33,1st innings,Delhi Capitals,Rajasthan Royals,5.3,RR Pant,SS Iyer,Kartik Tyagi,0,1,1,0,0,0,0
